scene_floor,cand,init_x,init_y,init_z,init_angle,clearance_m,island_radius_m,island,island_area_m2,island_frac,openness_m,mean_free_range_m,bbox_dist_m,bbox_pen_m,inside_bbox,band_lo,band_hi,n_bands,band_votes,anchor_heights,score,recommended,png,status,error,git_head
00023-zepmXAdrpjR_1,cand_0,0.4642,-0.2725,8.3491,0.1745,0.51,8.63,0,50.7,0.845,2.92,2.33,0.022,0.0,False,-0.272,0.528,1,4,0.72;0.08;1.02;0.12,0.6672,yes,pose_candidates/00023-zepmXAdrpjR_1/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00023-zepmXAdrpjR_1,cand_1,8.2693,0.1275,1.3826,1.6581,0.23,8.63,0,50.7,0.845,1.66,0.88,0.107,0.0,False,-0.272,0.528,1,4,0.72;0.08;1.02;0.12,0.4375,,pose_candidates/00023-zepmXAdrpjR_1/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00023-zepmXAdrpjR_1,cand_2,0.0878,0.1275,0.0413,-1.9199,0.478,8.63,0,50.7,0.845,2.38,1.61,0.0,0.088,False,-0.272,0.528,1,4,0.72;0.08;1.02;0.12,0.5984,,pose_candidates/00023-zepmXAdrpjR_1/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00023-zepmXAdrpjR_1,cand_3,7.2206,-0.2725,8.8701,2.1817,0.17,8.63,0,50.7,0.845,2.58,1.08,4.894,0.0,False,-0.272,0.528,1,4,0.72;0.08;1.02;0.12,0.5949,,pose_candidates/00023-zepmXAdrpjR_1/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00023-zepmXAdrpjR_1,cand_4,-4.8207,-0.1982,7.7439,-2.5307,0.255,8.63,0,50.7,0.845,2.75,1.45,2.266,0.0,False,-0.272,0.528,1,4,0.72;0.08;1.02;0.12,0.646,,pose_candidates/00023-zepmXAdrpjR_1/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00062-ACZZiU6BXLz_3,cand_0,8.2264,0.0893,2.2902,0.4363,0.283,6.32,0,15.58,0.502,2.14,1.22,0.225,0.0,False,0.089,0.489,3,4/0/0,0.94;0.36;1.44;1.43,0.4507,,pose_candidates/00062-ACZZiU6BXLz_3/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00062-ACZZiU6BXLz_3,cand_1,9.4963,0.0893,-3.265,2.1817,0.282,6.32,0,15.58,0.502,1.37,0.75,1.365,0.0,False,0.089,0.489,3,4/0/0,0.94;0.36;1.44;1.43,0.45,,pose_candidates/00062-ACZZiU6BXLz_3/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00062-ACZZiU6BXLz_3,cand_2,11.0106,0.0893,0.6529,0.6981,0.633,6.32,0,15.58,0.502,2.59,1.57,0.108,0.0,False,0.089,0.489,3,4/0/0,0.94;0.36;1.44;1.43,0.6235,yes,pose_candidates/00062-ACZZiU6BXLz_3/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00062-ACZZiU6BXLz_3,cand_3,5.3345,0.0893,2.8211,-0.5236,0.41,6.32,0,15.58,0.502,1.96,1.08,0.0,0.044,False,0.089,0.489,3,4/0/0,0.94;0.36;1.44;1.43,0.4605,,pose_candidates/00062-ACZZiU6BXLz_3/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00062-ACZZiU6BXLz_3,cand_4,7.2231,0.0893,2.3388,-0.9599,0.162,6.32,0,15.58,0.502,2.26,1.24,0.266,0.0,False,0.089,0.489,3,4/0/0,0.94;0.36;1.44;1.43,0.4181,,pose_candidates/00062-ACZZiU6BXLz_3/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00135-HeSYRw7eMtG_1,cand_0,3.281,-0.001,-4.7336,2.1817,0.265,9.02,0,25.88,0.29,2.91,1.82,0.136,0.0,False,-0.001,0.399,4,0/4/3/0,1.99;0.62;1.16;1.45,0.4686,,pose_candidates/00135-HeSYRw7eMtG_1/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00135-HeSYRw7eMtG_1,cand_1,-4.0317,0.1333,-5.1446,-1.8326,0.272,9.02,0,25.88,0.29,2.89,1.37,0.867,0.0,False,-0.001,0.399,4,0/4/3/0,1.99;0.62;1.16;1.45,0.543,yes,pose_candidates/00135-HeSYRw7eMtG_1/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00135-HeSYRw7eMtG_1,cand_2,-0.068,0.15,-0.0241,0.6981,0.177,9.02,0,25.88,0.29,3.29,1.6,0.0,0.068,False,-0.001,0.399,4,0/4/3/0,1.99;0.62;1.16;1.45,0.4288,,pose_candidates/00135-HeSYRw7eMtG_1/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00135-HeSYRw7eMtG_1,cand_3,6.624,-0.001,-5.5719,0.8727,0.159,9.02,0,25.88,0.29,1.61,0.88,2.54,0.0,False,-0.001,0.399,4,0/4/3/0,1.99;0.62;1.16;1.45,0.3822,,pose_candidates/00135-HeSYRw7eMtG_1/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00135-HeSYRw7eMtG_1,cand_4,3.2495,0.0903,-7.1465,-2.3562,0.157,9.02,0,25.88,0.29,1.89,1.07,0.482,0.0,False,-0.001,0.399,4,0/4/3/0,1.99;0.62;1.16;1.45,0.3586,,pose_candidates/00135-HeSYRw7eMtG_1/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00149-UuwwmrTsfBN_1,cand_0,-0.0837,0.0587,-10.0119,-0.6981,0.537,9.56,0,59.81,0.349,3.34,2.33,0.0,0.084,False,0.059,0.259,5,0/4/4/1/0,0.92;0.59;1.16;0.56,0.5847,yes,pose_candidates/00149-UuwwmrTsfBN_1/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00149-UuwwmrTsfBN_1,cand_1,4.5706,0.0587,-3.3632,0.5236,0.257,9.56,0,59.81,0.349,2.14,1.32,0.442,0.0,False,0.059,0.259,5,0/4/4/1/0,0.92;0.59;1.16;0.56,0.4314,,pose_candidates/00149-UuwwmrTsfBN_1/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00149-UuwwmrTsfBN_1,cand_2,-4.0234,0.0587,-3.7214,0.6981,0.206,9.56,0,59.81,0.349,1.33,0.91,0.0,0.062,False,0.059,0.259,5,0/4/4/1/0,0.92;0.59;1.16;0.56,0.285,,pose_candidates/00149-UuwwmrTsfBN_1/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00149-UuwwmrTsfBN_1,cand_3,6.5671,0.0587,-12.8819,1.5708,0.296,9.56,0,59.81,0.349,1.92,1.15,5.221,0.0,False,0.059,0.259,5,0/4/4/1/0,0.92;0.59;1.16;0.56,0.4802,,pose_candidates/00149-UuwwmrTsfBN_1/cand_3.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00149-UuwwmrTsfBN_1,cand_4,-5.1054,0.0587,-8.931,-1.0472,0.168,9.56,0,59.81,0.349,3.01,1.51,2.883,0.0,False,0.059,0.259,5,0/4/4/1/0,0.92;0.59;1.16;0.56,0.537,,pose_candidates/00149-UuwwmrTsfBN_1/cand_4.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00207-FRQ75PjD278_0,cand_0,3.2162,0.0883,5.2486,-2.2689,0.17,5.03,1,12.45,0.493,1.92,1.12,0.421,0.0,False,0.088,1.088,1,4,0.46;0.24;1.51;1.61,0.4007,,pose_candidates/00207-FRQ75PjD278_0/cand_0.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00207-FRQ75PjD278_0,cand_1,-2.9242,0.0883,6.1138,0.0,0.151,5.03,1,12.45,0.493,1.47,0.74,0.278,0.0,False,0.088,1.088,1,4,0.46;0.24;1.51;1.61,0.3341,,pose_candidates/00207-FRQ75PjD278_0/cand_1.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
00207-FRQ75PjD278_0,cand_2,4.8085,0.0883,2.8571,1.4835,0.161,5.03,1,12.45,0.493,1.99,0.91,0.006,0.0,False,0.088,1.088,1,4,0.46;0.24;1.51;1.61,0.3622,,pose_candidates/00207-FRQ75PjD278_0/cand_2.png,ok,,a3f2ce2b6f7f56d665cb51e6381afe6a5dacac3f
